step,scenario_id,scenario_name,packet_role,attack_method,who_sends,channel,payload_summary,timestamp_status,nonce_status,hmac_status,filter_decision,rejection_reason,detected_by,explanation
1,1,"TTW-S1  Malicious Vehicle, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10 (real link),FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate topology beacon — accepted by crypto filter
2,1,"TTW-S1  Malicious Vehicle, No RSU",ATTACK,STALE_TIMESTAMP_REPLAY,Malicious V0,V0→RSU,REPLAY of V1s beacon — timestamp is 8s old,STALE(8001ms),REUSED,NOT_CHECKED,REJECTED,STALE_TIMESTAMP,PQ_CRYPTO_FILTER,Timestamp is 8000ms old (> 5000ms window) → STALE_TIMESTAMP → REJECTED
3,1,"TTW-S1  Malicious Vehicle, No RSU",ATTACK,FORGED_TIMESTAMP_NO_KSESSION,Malicious V0,V0→RSU,Forged fresh timestamp but HMAC uses random bytes (no K_session),FRESH,FRESH,INVALID,REJECTED,HMAC_FAIL,PQ_CRYPTO_FILTER,V_ATK has no K_session → cannot compute valid HMAC → HMAC_FAIL → REJECTED
1,2,TTW-S2  Malicious RSU,LEGITIMATE,,Vehicle V1,V1→RSU (Channel A),topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,V1 reports real link to RSU — accepted on vehicle channel
2,2,TTW-S2  Malicious RSU,LEGITIMATE,,RSU (relaying),RSU→Controller (Channel B),Aggregate forward: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate RSU aggregate — accepted on trusted RSU-Controller channel
3,2,TTW-S2  Malicious RSU,ATTACK,TRUSTED_RSU_RESIGNED_STALE_DATA,Malicious RSU,RSU→Controller (Channel B),Stale V1↔V2 link re-signed with RSU's valid K_session,FRESH,REUSED,VALID,ACCEPTED,TRUSTED_RSU_BYPASS,NS3_PEM_LAYER,RSU has valid K_session → fresh ts + valid HMAC → filter ACCEPTS it. Detected by NS-3 PEM link-age check in routing.cc
1,3,"TTW-S3  Malicious Controller, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Normal topology report — passes crypto filter as expected
2,3,"TTW-S3  Malicious Controller, No RSU",ATTACK,INTERNAL_TABLE_REWRITE,Controller,controller_memory,Rewrites table: V1 still sees V2 at forged t=20,N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller edits its own table — no radio packet exists to filter
1,5,"BSHH-S1 Malicious Vehicle, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,heartbeat: V1 alive at t=5,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate V1 heartbeat — accepted
2,5,"BSHH-S1 Malicious Vehicle, No RSU",ATTACK,STALE_HEARTBEAT_REPLAY,Malicious V2 (replaying V1),V2→RSU,REPLAY: V1's heartbeat from t=0 — timestamp 8s old,STALE(8000ms),REUSED,NOT_CHECKED,REJECTED,STALE_TIMESTAMP,PQ_CRYPTO_FILTER,Old heartbeat replayed → timestamp 8000ms stale → STALE_TIMESTAMP → REJECTED
3,5,"BSHH-S1 Malicious Vehicle, No RSU",ATTACK,IMPERSONATION_NO_KSESSION,Malicious V2 (claiming to be V1),V2→RSU,V2 sends heartbeat claiming to be V1 — no V1 K_session,FRESH,FRESH,INVALID,REJECTED,HMAC_FAIL,PQ_CRYPTO_FILTER,V2 has no V1 K_session → HMAC is random garbage → HMAC_FAIL → REJECTED
1,6,BSHH-S2 Malicious RSU,LEGITIMATE,,Vehicle V1,V1→RSU (Channel A),heartbeat: V1 alive at t=5,FRESH,REUSED,VALID,ACCEPTED,,—,V1 heartbeat received by RSU — accepted on vehicle channel
2,6,BSHH-S2 Malicious RSU,LEGITIMATE,,RSU (relaying),RSU→Controller (Channel B),RSU relays V1 heartbeat to controller,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate RSU relay — accepted
3,6,BSHH-S2 Malicious RSU,ATTACK,TRUSTED_RSU_RESIGNED_OLD_HEARTBEAT,Malicious RSU,RSU→Controller (Channel B),Old V1 heartbeat (t=0) re-signed with RSU's valid K_session as fresh,FRESH,REUSED,VALID,ACCEPTED,TRUSTED_RSU_BYPASS,NS3_PEM_LAYER,RSU re-signs stale heartbeat → fresh ts + valid HMAC → ACCEPTED by filter. Detected by NS-3 PEM liveness-age check.
1,7,"BSHH-S3 Malicious Controller, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,heartbeat: V1 alive at t=5,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate heartbeat — passes crypto filter
2,7,"BSHH-S3 Malicious Controller, No RSU",ATTACK,INTERNAL_LIVENESS_OVERWRITE,Controller,controller_memory,Overwrites liveness table: V1 was alive at t=0 (stale),N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller edits its own liveness table — no radio packet to filter
1,8,"BSHH-S4 Malicious Controller, With RSU",LEGITIMATE,,Vehicle V1,V1→RSU,heartbeat: V1 alive at t=5,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate heartbeat — passes crypto filter
2,8,"BSHH-S4 Malicious Controller, With RSU",ATTACK,INTERNAL_LIVENESS_OVERWRITE,Controller,controller_memory,Overwrites liveness table: V1 was alive at t=0 (stale),N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller edits its own liveness table — no radio packet to filter
1,9,"ME-S1   Malicious Vehicles, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10 (real link),FRESH,REUSED,VALID,ACCEPTED,,—,Real V1↔V2 link reported — accepted
2,9,"ME-S1   Malicious Vehicles, No RSU",ATTACK,ECHO_SAME_NONCE_NONCE_REUSE,Malicious V3 (echoing V1),V3→RSU,V3 re-broadcasts V1's exact packet — same nonce,FRESH,REUSED,NOT_CHECKED,REJECTED,NONCE_REUSED,PQ_CRYPTO_FILTER,Same nonce as V1's already-accepted beacon → NONCE_REUSED → REJECTED
3,9,"ME-S1   Malicious Vehicles, No RSU",ATTACK,CRAFTED_ECHO_NO_KSESSION,"Malicious V3 (crafted, claiming V1)",V3→RSU,V3 crafts 'I (V1) see V2' — has no V1 K_session,FRESH,FRESH,INVALID,REJECTED,HMAC_FAIL,PQ_CRYPTO_FILTER,V3 has no V1 K_session → HMAC is invalid → HMAC_FAIL → REJECTED
